load,prefill_priority,decode_policy,cache_policy,cache_budget,makespan_ms,lat_p50,lat_p90,lat_p95,lat_p99,ttft_p50,tpot_p50,throughput_rps,throughput_tokens_s,prefill_hit_rate
0.5,0.5,fcfs,lru,0,272809,97468.7,158605,166069,172223,97449.1,1.10714,18.3279,504.273,0.301686
0.5,0.5,fcfs,lru,32768,293629,104929,177004,185858,192889,104909,1.05357,17.0283,468.516,0.248371
0.5,0.5,fcfs,lru,65536,274520,97475.1,159862,167617,174029,97455.5,1.10714,18.2136,501.129,0.29736
0.5,0.5,fcfs,lfu,0,272809,97468.7,158605,166069,172223,97449.1,1.10714,18.3279,504.273,0.301686
0.5,0.5,fcfs,lfu,32768,294111,104591,177645,186003,192945,104566,1.05742,17.0004,467.748,0.24714
0.5,0.5,fcfs,lfu,65536,274381,97475.1,159988,167549,173994,97455.5,1.10714,18.2229,501.384,0.297688
0.5,0.5,fcfs,cost,0,272809,97468.7,158605,166069,172223,97449.1,1.10714,18.3279,504.273,0.301686
0.5,0.5,fcfs,cost,32768,294111,104591,177645,186003,192945,104566,1.05742,17.0004,467.748,0.24714
0.5,0.5,fcfs,cost,65536,274381,97475.1,159988,167549,173994,97455.5,1.10714,18.2229,501.384,0.297688
0.5,0.5,slo,lru,0,272809,97468.7,158605,166069,172223,97449.1,1.10714,18.3279,504.273,0.301686
0.5,0.5,slo,lru,32768,293629,104929,177004,185858,192889,104909,1.05357,17.0283,468.516,0.248371
0.5,0.5,slo,lru,65536,274520,97475.1,159862,167617,174029,97455.5,1.10714,18.2136,501.129,0.29736
0.5,0.5,slo,lfu,0,272809,97468.7,158605,166069,172223,97449.1,1.10714,18.3279,504.273,0.301686
0.5,0.5,slo,lfu,32768,294111,104591,177645,186003,192945,104566,1.05742,17.0004,467.748,0.24714
0.5,0.5,slo,lfu,65536,274381,97475.1,159988,167549,173994,97455.5,1.10714,18.2229,501.384,0.297688
0.5,0.5,slo,cost,0,272809,97468.7,158605,166069,172223,97449.1,1.10714,18.3279,504.273,0.301686
0.5,0.5,slo,cost,32768,294111,104591,177645,186003,192945,104566,1.05742,17.0004,467.748,0.24714
0.5,0.5,slo,cost,65536,274381,97475.1,159988,167549,173994,97455.5,1.10714,18.2229,501.384,0.297688
0.5,0.7,fcfs,lru,0,272809,97468.7,158605,166069,172223,97449.1,1.10714,18.3279,504.273,0.301686
0.5,0.7,fcfs,lru,32768,293629,104929,177004,185858,192889,104909,1.05357,17.0283,468.516,0.248371
0.5,0.7,fcfs,lru,65536,274520,97475.1,159862,167617,174029,97455.5,1.10714,18.2136,501.129,0.29736
0.5,0.7,fcfs,lfu,0,272809,97468.7,158605,166069,172223,97449.1,1.10714,18.3279,504.273,0.301686
0.5,0.7,fcfs,lfu,32768,294111,104591,177645,186003,192945,104566,1.05742,17.0004,467.748,0.24714
0.5,0.7,fcfs,lfu,65536,274381,97475.1,159988,167549,173994,97455.5,1.10714,18.2229,501.384,0.297688
0.5,0.7,fcfs,cost,0,272809,97468.7,158605,166069,172223,97449.1,1.10714,18.3279,504.273,0.301686
0.5,0.7,fcfs,cost,32768,294111,104591,177645,186003,192945,104566,1.05742,17.0004,467.748,0.24714
